A00	COLERA
A01	FIEBRES TIFOIDEA Y PARATIFOIDEA
A02	OTRAS INFECCIONES DEBIDAS SALMONELLA
A03	SHIGELOSIS
A04	OTRAS INFECCIONES INTESTINALES BACTERIANAS
A05	OTRAS INTOXICACIONES INTESTINALES BACTERIANAS
A06	AMEBIASIS
A07	OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A08	INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A09	DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A15	TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A16	TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A17†	TUBERCULOSIS DEL SISTEMA NERVIOSO
A18	TUBERCULOSIS DE OTROS ORGANOS
A19	TUBERCULOSIS MILIAR
A20	PESTE
A21	TULAREMIA
A22	CARBUNCO [ ANTRAX ]
A23	BRUCELOSIS
A24	MUERMO Y MELIOIDOSIS
A25	FIEBRE POR MORDEDURA DE RATA
A26	ERISIPELOIDE
A27	LEPTOSPIROSIS
A28	OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A30	LEPRA [ ENFERMEDAD DE HANSEN ]
A31	INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A32	LISTERIOSIS
A33	TETANOS NEONATAL
A34	TETANOS OBSTETRICO
A35	OTROS TETANOS
A36	DIFTERIA
A37	TOS FERINA [ TOS CONVULSIVA ]
A38	ESCARLATINA
A39	INFECCION MENINGOCOCICA
A40	SEPTICEMIA ESTREPTOCOCICA
A41	OTRAS SEPTICEMIAS
A42	ACTINOMICOSIS
A43	NOCARDIOSIS
A44	BARTONELOSIS
A46	ERISIPELA
A48	OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A49	INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A50	SIFILIS CONGENITA
A51	SIFILIS PRECOZ
A52	SIFILIS TARDIA
A53	OTRAS SIFILIS Y LAS NO ESPECIFICADAS
A54	INFECCION GONOCOCICA
A55	LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A56	OTRAS ENFERMEDADES DE TRANSMISION SEXUAL DEBIDADAS A CLAMIDIAS
A57	CHANCRO BLANDO
A58	GRANULOMA INGUINAL
A59	TRICOMONIASIS
A60	INFECION ANOGENITAL DEBIDA A VIRUS DEL HERPES [ HERPES SIMPLE ]
A63	OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, NO CLASIFICADAS EN OTRASA PARTE
A64	ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65	SIFILIS NO VENEREA
A66	FRAMBESIA
A67	PINTA [ CARATE ]
A68	FIEBRES RECURRENTES
A69	OTRAS INFECCIONES CAUS POR ESPIROQUETAS
A70	INFECCION DEBIDA A CLAMYDIA PSITTACI
A71	TRACOMA
A74	OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
A75	TIFUS
